DateKey,FullDate,Day,Month,Year,DayName,MonthName,Quarter,Half,YearMonth,IsWeekend
1,2023-01-01,1,1,2023,Sunday,Jan,Q1,H1,01/2023,1
2,2023-01-02,2,1,2023,Monday,Jan,Q1,H1,01/2023,0
3,2023-01-03,3,1,2023,Tuesday,Jan,Q1,H1,01/2023,0
4,2023-01-04,4,1,2023,Wednesday,Jan,Q1,H1,01/2023,0
5,2023-01-05,5,1,2023,Thursday,Jan,Q1,H1,01/2023,0
6,2023-01-06,6,1,2023,Friday,Jan,Q1,H1,01/2023,0
7,2023-01-07,7,1,2023,Saturday,Jan,Q1,H1,01/2023,1
8,2023-01-08,8,1,2023,Sunday,Jan,Q1,H1,01/2023,1
9,2023-01-09,9,1,2023,Monday,Jan,Q1,H1,01/2023,0
10,2023-01-10,10,1,2023,Tuesday,Jan,Q1,H1,01/2023,0
11,2023-01-11,11,1,2023,Wednesday,Jan,Q1,H1,01/2023,0
12,2023-01-12,12,1,2023,Thursday,Jan,Q1,H1,01/2023,0
13,2023-01-13,13,1,2023,Friday,Jan,Q1,H1,01/2023,0
14,2023-01-14,14,1,2023,Saturday,Jan,Q1,H1,01/2023,1
15,2023-01-15,15,1,2023,Sunday,Jan,Q1,H1,01/2023,1
16,2023-01-16,16,1,2023,Monday,Jan,Q1,H1,01/2023,0
17,2023-01-17,17,1,2023,Tuesday,Jan,Q1,H1,01/2023,0
18,2023-01-18,18,1,2023,Wednesday,Jan,Q1,H1,01/2023,0
19,2023-01-19,19,1,2023,Thursday,Jan,Q1,H1,01/2023,0
20,2023-01-20,20,1,2023,Friday,Jan,Q1,H1,01/2023,0
21,2023-01-21,21,1,2023,Saturday,Jan,Q1,H1,01/2023,1
22,2023-01-22,22,1,2023,Sunday,Jan,Q1,H1,01/2023,1
23,2023-01-23,23,1,2023,Monday,Jan,Q1,H1,01/2023,0
24,2023-01-24,24,1,2023,Tuesday,Jan,Q1,H1,01/2023,0
25,2023-01-25,25,1,2023,Wednesday,Jan,Q1,H1,01/2023,0
26,2023-01-26,26,1,2023,Thursday,Jan,Q1,H1,01/2023,0
27,2023-01-27,27,1,2023,Friday,Jan,Q1,H1,01/2023,0
28,2023-01-28,28,1,2023,Saturday,Jan,Q1,H1,01/2023,1
29,2023-01-29,29,1,2023,Sunday,Jan,Q1,H1,01/2023,1
30,2023-01-30,30,1,2023,Monday,Jan,Q1,H1,01/2023,0
31,2023-01-31,31,1,2023,Tuesday,Jan,Q1,H1,01/2023,0
32,2023-02-01,1,2,2023,Wednesday,Feb,Q1,H1,02/2023,0
33,2023-02-02,2,2,2023,Thursday,Feb,Q1,H1,02/2023,0
34,2023-02-03,3,2,2023,Friday,Feb,Q1,H1,02/2023,0
35,2023-02-04,4,2,2023,Saturday,Feb,Q1,H1,02/2023,1
36,2023-02-05,5,2,2023,Sunday,Feb,Q1,H1,02/2023,1
37,2023-02-06,6,2,2023,Monday,Feb,Q1,H1,02/2023,0
38,2023-02-07,7,2,2023,Tuesday,Feb,Q1,H1,02/2023,0
39,2023-02-08,8,2,2023,Wednesday,Feb,Q1,H1,02/2023,0
40,2023-02-09,9,2,2023,Thursday,Feb,Q1,H1,02/2023,0
41,2023-02-10,10,2,2023,Friday,Feb,Q1,H1,02/2023,0
42,2023-02-11,11,2,2023,Saturday,Feb,Q1,H1,02/2023,1
43,2023-02-12,12,2,2023,Sunday,Feb,Q1,H1,02/2023,1
44,2023-02-13,13,2,2023,Monday,Feb,Q1,H1,02/2023,0
45,2023-02-14,14,2,2023,Tuesday,Feb,Q1,H1,02/2023,0
46,2023-02-15,15,2,2023,Wednesday,Feb,Q1,H1,02/2023,0
47,2023-02-16,16,2,2023,Thursday,Feb,Q1,H1,02/2023,0
48,2023-02-17,17,2,2023,Friday,Feb,Q1,H1,02/2023,0
49,2023-02-18,18,2,2023,Saturday,Feb,Q1,H1,02/2023,1
50,2023-02-19,19,2,2023,Sunday,Feb,Q1,H1,02/2023,1
51,2023-02-20,20,2,2023,Monday,Feb,Q1,H1,02/2023,0
52,2023-02-21,21,2,2023,Tuesday,Feb,Q1,H1,02/2023,0
53,2023-02-22,22,2,2023,Wednesday,Feb,Q1,H1,02/2023,0
54,2023-02-23,23,2,2023,Thursday,Feb,Q1,H1,02/2023,0
55,2023-02-24,24,2,2023,Friday,Feb,Q1,H1,02/2023,0
56,2023-02-25,25,2,2023,Saturday,Feb,Q1,H1,02/2023,1
57,2023-02-26,26,2,2023,Sunday,Feb,Q1,H1,02/2023,1
58,2023-02-27,27,2,2023,Monday,Feb,Q1,H1,02/2023,0
59,2023-02-28,28,2,2023,Tuesday,Feb,Q1,H1,02/2023,0
60,2023-03-01,1,3,2023,Wednesday,Mar,Q1,H1,03/2023,0
61,2023-03-02,2,3,2023,Thursday,Mar,Q1,H1,03/2023,0
62,2023-03-03,3,3,2023,Friday,Mar,Q1,H1,03/2023,0
63,2023-03-04,4,3,2023,Saturday,Mar,Q1,H1,03/2023,1
64,2023-03-05,5,3,2023,Sunday,Mar,Q1,H1,03/2023,1
65,2023-03-06,6,3,2023,Monday,Mar,Q1,H1,03/2023,0
66,2023-03-07,7,3,2023,Tuesday,Mar,Q1,H1,03/2023,0
67,2023-03-08,8,3,2023,Wednesday,Mar,Q1,H1,03/2023,0
68,2023-03-09,9,3,2023,Thursday,Mar,Q1,H1,03/2023,0
69,2023-03-10,10,3,2023,Friday,Mar,Q1,H1,03/2023,0
70,2023-03-11,11,3,2023,Saturday,Mar,Q1,H1,03/2023,1
71,2023-03-12,12,3,2023,Sunday,Mar,Q1,H1,03/2023,1
72,2023-03-13,13,3,2023,Monday,Mar,Q1,H1,03/2023,0
73,2023-03-14,14,3,2023,Tuesday,Mar,Q1,H1,03/2023,0
74,2023-03-15,15,3,2023,Wednesday,Mar,Q1,H1,03/2023,0
75,2023-03-16,16,3,2023,Thursday,Mar,Q1,H1,03/2023,0
76,2023-03-17,17,3,2023,Friday,Mar,Q1,H1,03/2023,0
77,2023-03-18,18,3,2023,Saturday,Mar,Q1,H1,03/2023,1
78,2023-03-19,19,3,2023,Sunday,Mar,Q1,H1,03/2023,1
79,2023-03-20,20,3,2023,Monday,Mar,Q1,H1,03/2023,0
80,2023-03-21,21,3,2023,Tuesday,Mar,Q1,H1,03/2023,0
81,2023-03-22,22,3,2023,Wednesday,Mar,Q1,H1,03/2023,0
82,2023-03-23,23,3,2023,Thursday,Mar,Q1,H1,03/2023,0
83,2023-03-24,24,3,2023,Friday,Mar,Q1,H1,03/2023,0
84,2023-03-25,25,3,2023,Saturday,Mar,Q1,H1,03/2023,1
85,2023-03-26,26,3,2023,Sunday,Mar,Q1,H1,03/2023,1
86,2023-03-27,27,3,2023,Monday,Mar,Q1,H1,03/2023,0
87,2023-03-28,28,3,2023,Tuesday,Mar,Q1,H1,03/2023,0
88,2023-03-29,29,3,2023,Wednesday,Mar,Q1,H1,03/2023,0
89,2023-03-30,30,3,2023,Thursday,Mar,Q1,H1,03/2023,0
90,2023-03-31,31,3,2023,Friday,Mar,Q1,H1,03/2023,0
91,2023-04-01,1,4,2023,Saturday,Apr,Q2,H1,04/2023,1
92,2023-04-02,2,4,2023,Sunday,Apr,Q2,H1,04/2023,1
93,2023-04-03,3,4,2023,Monday,Apr,Q2,H1,04/2023,0
94,2023-04-04,4,4,2023,Tuesday,Apr,Q2,H1,04/2023,0
95,2023-04-05,5,4,2023,Wednesday,Apr,Q2,H1,04/2023,0
96,2023-04-06,6,4,2023,Thursday,Apr,Q2,H1,04/2023,0
97,2023-04-07,7,4,2023,Friday,Apr,Q2,H1,04/2023,0
98,2023-04-08,8,4,2023,Saturday,Apr,Q2,H1,04/2023,1
